pop,species,status,size.fecund,eggs
pop1,floridana,uninfected,1.476,13
pop1,floridana,uninfected,1.111,11
pop1,floridana,uninfected,1.524,22
pop1,floridana,uninfected,1.285,13
pop1,floridana,uninfected,1.444,10
pop1,floridana,uninfected,1.571,15
pop1,floridana,uninfected,1.365,13
pop1,floridana,uninfected,1.397,10
pop1,floridana,uninfected,1.333,8
pop1,floridana,uninfected,1.428,20
pop1,floridana,uninfected,1.571,27
pop1,floridana,uninfected,1.222,11
pop1,floridana,uninfected,1.174,10
pop1,floridana,uninfected,1.539,23
pop1,floridana,uninfected,1.508,19
pop1,floridana,uninfected,1.238,12
pop1,floridana,uninfected,1.508,21
pop1,floridana,uninfected,1.174,8
pop1,floridana,uninfected,1.238,13
pop1,floridana,uninfected,1.19,11
pop1,floridana,uninfected,1.19,11
pop1,floridana,uninfected,1.412,15
pop1,floridana,uninfected,1.333,12
pop1,floridana,uninfected,1.333,12
pop1,floridana,uninfected,1.238,6
pop1,floridana,uninfected,1.476,16
pop1,floridana,uninfected,1.19,10
pop1,floridana,uninfected,1.46,12
pop1,floridana,uninfected,1.333,16
pop1,floridana,uninfected,1.349,17
pop1,floridana,uninfected,1.365,15
pop1,floridana,uninfected,1.206,8
pop1,floridana,uninfected,1.349,18
pop1,floridana,uninfected,1.254,10
pop1,floridana,uninfected,1.27,15
pop1,floridana,uninfected,1.206,8
pop1,floridana,uninfected,1.476,15
pop1,floridana,uninfected,1.381,11
pop1,floridana,uninfected,1.74,23
pop1,floridana,uninfected,1.444,15
pop1,floridana,uninfected,1.349,11
pop1,floridana,uninfected,1.428,17
pop1,floridana,uninfected,1.444,19
pop1,floridana,uninfected,1.412,15
pop1,floridana,uninfected,1.238,12
pop1,floridana,uninfected,1.285,13
pop1,floridana,uninfected,1.365,19
pop1,floridana,uninfected,1.46,16
pop1,floridana,uninfected,1.174,9
pop1,floridana,uninfected,1.492,18
pop1,floridana,uninfected,1.333,14
pop1,floridana,uninfected,1.206,13
pop1,floridana,uninfected,1.19,6
pop1,floridana,uninfected,1.19,8
pop1,floridana,uninfected,1.143,6
pop1,floridana,uninfected,1.159,7
pop1,floridana,uninfected,1.174,8
pop1,floridana,uninfected,1.159,8
pop1,floridana,uninfected,1.365,13
pop1,floridana,uninfected,1.206,9
pop1,floridana,uninfected,1.19,8
pop1,floridana,uninfected,1.27,11
pop1,floridana,uninfected,1.301,10
pop1,floridana,uninfected,1.174,9
pop1,floridana,uninfected,1.206,9
pop1,floridana,uninfected,1.127,8
pop1,floridana,uninfected,1.333,8
pop1,floridana,uninfected,1.016,5
pop1,floridana,uninfected,1.317,10
pop1,floridana,uninfected,1.174,7
pop1,floridana,uninfected,1.381,10
pop1,floridana,uninfected,1.492,17
pop1,floridana,uninfected,1.539,21
pop1,floridana,uninfected,1.365,13
pop1,floridana,uninfected,1.285,11
pop1,floridana,uninfected,1.444,13
pop1,floridana,uninfected,1.476,17
pop1,floridana,uninfected,1.428,16
pop1,floridana,uninfected,1.397,9
pop1,floridana,uninfected,1.349,10
pop1,floridana,uninfected,1.365,12
pop1,floridana,uninfected,1.412,13
pop1,petronioi,infected,1.492,7
pop1,petronioi,infected,1.428,10
pop1,petronioi,infected,1.555,14
pop1,petronioi,infected,1.365,10
pop1,petronioi,infected,1.285,6
pop1,petronioi,infected,1.317,10
pop1,petronioi,infected,1.349,9
pop1,petronioi,infected,1.492,11
pop1,petronioi,infected,1.397,9
pop1,petronioi,infected,1.524,8
pop1,petronioi,infected,1.333,9
pop1,petronioi,infected,1.66,13
pop1,petronioi,infected,1.492,13
pop1,petronioi,infected,1.365,10
pop1,petronioi,infected,1.508,11
pop1,petronioi,infected,1.46,12
pop1,petronioi,infected,1.476,10
pop1,petronioi,infected,1.428,11
pop1,petronioi,infected,1.428,11
pop1,petronioi,infected,1.381,8
pop1,petronioi,infected,1.428,13
pop1,petronioi,infected,1.476,12
pop1,petronioi,infected,1.428,10
pop1,petronioi,infected,1.381,11
pop1,petronioi,infected,1.428,10
pop1,petronioi,infected,1.333,9
pop1,petronioi,infected,1.46,11
pop1,petronioi,infected,1.397,11
pop1,petronioi,infected,1.333,10
pop1,petronioi,infected,1.349,8
pop1,petronioi,infected,1.444,10
pop1,petronioi,infected,1.412,11
pop1,petronioi,infected,1.46,11
pop1,petronioi,infected,1.508,12
pop1,petronioi,infected,1.428,12
pop1,petronioi,infected,1.317,9
pop1,petronioi,infected,1.349,8
pop1,petronioi,infected,1.444,10
pop1,petronioi,infected,1.365,10
pop1,petronioi,infected,1.444,12
pop1,petronioi,infected,1.476,11
pop1,petronioi,infected,1.349,8
pop1,petronioi,infected,1.333,8
pop1,petronioi,infected,1.571,14
pop1,petronioi,infected,1.444,9
pop1,petronioi,infected,1.349,10
pop1,petronioi,infected,1.428,10
pop1,petronioi,infected,1.524,12
pop1,petronioi,infected,1.397,10
pop1,petronioi,infected,1.397,7
pop1,petronioi,infected,1.444,12
pop1,petronioi,infected,1.428,11
pop1,petronioi,infected,1.301,8
pop1,inflata,uninfected,1.032,5
pop1,inflata,uninfected,1.349,9
pop1,inflata,uninfected,1.301,10
pop1,inflata,uninfected,1.016,7
pop1,inflata,uninfected,1.143,7
pop1,inflata,uninfected,1.159,11
pop1,inflata,uninfected,1.032,9
pop1,inflata,uninfected,0.984,7
pop1,inflata,uninfected,1.063,6
pop1,inflata,uninfected,1.095,9
pop1,inflata,uninfected,1.016,6
pop1,inflata,uninfected,1.016,7
