pop,species,size.all
pop1,floridana,1.476
pop1,floridana,1.111
pop1,floridana,1.524
pop1,floridana,1.285
pop1,floridana,1.444
pop1,floridana,1.571
pop1,floridana,1.365
pop1,floridana,1.397
pop1,floridana,1.333
pop1,floridana,1.428
pop1,floridana,1.571
pop1,floridana,1.222
pop1,floridana,1.174
pop1,floridana,1.539
pop1,floridana,1.508
pop1,floridana,1.238
pop1,floridana,1.508
pop1,floridana,1.174
pop1,floridana,1.238
pop1,floridana,1.19
pop1,floridana,1.19
pop1,floridana,1.412
pop1,floridana,1.333
pop1,floridana,1.333
pop1,floridana,1.238
pop1,floridana,1.476
pop1,floridana,1.19
pop1,floridana,1.46
pop1,floridana,1.333
pop1,floridana,1.349
pop1,floridana,1.365
pop1,floridana,1.206
pop1,floridana,1.349
pop1,floridana,1.254
pop1,floridana,1.27
pop1,floridana,1.206
pop1,floridana,1.476
pop1,floridana,1.381
pop1,floridana,1.74
pop1,floridana,1.444
pop1,floridana,1.349
pop1,floridana,1.428
pop1,floridana,1.444
pop1,floridana,1.412
pop1,floridana,1.238
pop1,floridana,1.285
pop1,floridana,1.365
pop1,floridana,1.46
pop1,floridana,1.174
pop1,floridana,1.492
pop1,floridana,1.333
pop1,floridana,1.206
pop1,floridana,1.19
pop1,floridana,1.19
pop1,floridana,1.143
pop1,floridana,1.159
pop1,floridana,1.174
pop1,floridana,1.159
pop1,floridana,1.365
pop1,floridana,1.206
pop1,floridana,1.19
pop1,floridana,1.27
pop1,floridana,1.301
pop1,floridana,1.174
pop1,floridana,1.206
pop1,floridana,1.127
pop1,floridana,1.333
pop1,floridana,1.016
pop1,floridana,1.317
pop1,floridana,1.174
pop1,floridana,1.381
pop1,floridana,1.492
pop1,floridana,1.539
pop1,floridana,1.365
pop1,floridana,1.285
pop1,floridana,1.444
pop1,floridana,1.476
pop1,floridana,1.428
pop1,floridana,1.397
pop1,floridana,1.349
pop1,floridana,1.365
pop1,floridana,1.412
pop1,petronioi,1.492
pop1,petronioi,1.428
pop1,petronioi,1.555
pop1,petronioi,1.365
pop1,petronioi,1.285
pop1,petronioi,1.317
pop1,petronioi,1.349
pop1,petronioi,1.492
pop1,petronioi,1.397
pop1,petronioi,1.524
pop1,petronioi,1.333
pop1,petronioi,1.66
pop1,petronioi,1.492
pop1,petronioi,1.365
pop1,petronioi,1.508
pop1,petronioi,1.46
pop1,petronioi,1.476
pop1,petronioi,1.428
pop1,petronioi,1.428
pop1,petronioi,1.381
pop1,petronioi,1.428
pop1,petronioi,1.476
pop1,petronioi,1.428
pop1,petronioi,1.381
